
 
 ----------- 
 AdH Version 
 ----------- 
 Version 4.5 
 Compatible with Sedlib v1.3 
 
 --------------------- 
 AdH Build Information 
 --------------------- 
 SVN revision #  
 Build Date/Time: 2015.01.06 / 11:43:39 
 Built with DEBUG enabled 
 Built with XMS (*.dat) output file format 
 Built with STRUCTURES enabled 
 Built with Sedlib support enabled 
 Built with UMFPACK enabled 
 
 ------------------- 
 Runtime Information 
 ------------------- 
 AdH execution Date/Time: 2024.10.25 / 11:58:23 
 Launching AdH with project name: ADH_57_most Mesh 
 Launching AdH with run name: (unspecified) 
 AdH was launched with 1 processor 
alloc_adh :: allocating grid 
alloc_adh :: allocating physics 
--allocating 2d shallow water variables 
Successfully Initialized All ADH Variables 
ADH Binary Successfully Written 
 
adh_run_func :: tfinal = 2678400.000000  
Physics	Time	dt	Progress	Nonlinear Iteration	Linear Iterations	Max Resid Worst Node	Inc Max Worst Node	Nodes After Adaption 
HYD	1.89000000e+004	  3.000000e+002	%0.71	    1	0	10254	10254	   10553 
HYD	1.89000000e+004	  3.000000e+002	%0.71	    2	0	4339	4339	   10553 
HYD	1.92000000e+004	  3.000000e+002	%0.72	    1	0	10254	10254	   10553 
HYD	1.92000000e+004	  3.000000e+002	%0.72	    2	0	4339	4339	   10553 
HYD	1.95000000e+004	  3.000000e+002	%0.73	    1	0	10254	5205	   10553 
HYD	1.95000000e+004	  3.000000e+002	%0.73	    2	0	4339	4339	   10553 
HYD	1.98000000e+004	  3.000000e+002	%0.74	    1	0	10254	5205	   10553 
HYD	1.98000000e+004	  3.000000e+002	%0.74	    2	0	4339	4362	   10553 
HYD	2.01000000e+004	  3.000000e+002	%0.75	    1	0	10254	5205	   10553 
HYD	2.01000000e+004	  3.000000e+002	%0.75	    2	0	5876	5900	   10553 
HYD	2.04000000e+004	  3.000000e+002	%0.76	    1	0	5672	5205	   10553 
HYD	2.04000000e+004	  3.000000e+002	%0.76	    2	0	5900	5900	   10553 
HYD	2.07000000e+004	  3.000000e+002	%0.77	    1	0	5672	5205	   10553 
HYD	2.07000000e+004	  3.000000e+002	%0.77	    2	0	5900	5900	   10553 
HYD	2.10000000e+004	  3.000000e+002	%0.78	    1	0	5672	5205	   10553 
HYD	2.10000000e+004	  3.000000e+002	%0.78	    2	0	5900	5900	   10553 
HYD	2.13000000e+004	  3.000000e+002	%0.80	    1	0	5672	5205	   10553 
HYD	2.13000000e+004	  3.000000e+002	%0.80	    2	0	5328	9118	   10553 
HYD	2.16000000e+004	  3.000000e+002	%0.81	    1	0	5672	6192	   10553 
HYD	2.16000000e+004	  3.000000e+002	%0.81	    2	0	5328	9118	   10553 
HYD	2.19000000e+004	  3.000000e+002	%0.82	    1	0	4474	6192	   10553 
HYD	2.19000000e+004	  3.000000e+002	%0.82	    2	0	5996	9118	   10553 
HYD	2.22000000e+004	  3.000000e+002	%0.83	    1	0	4474	6192	   10553 
HYD	2.22000000e+004	  3.000000e+002	%0.83	    2	0	5996	9118	   10553 
HYD	2.25000000e+004	  3.000000e+002	%0.84	    1	0	10335	6192	   10553 
HYD	2.25000000e+004	  3.000000e+002	%0.84	    2	0	6162	9118	   10553 
HYD	2.28000000e+004	  3.000000e+002	%0.85	    1	0	10335	6192	   10553 
HYD	2.28000000e+004	  3.000000e+002	%0.85	    2	0	6117	9118	   10553 
HYD	2.31000000e+004	  3.000000e+002	%0.86	    1	0	10335	9772	   10553 
HYD	2.31000000e+004	  3.000000e+002	%0.86	    2	0	6117	9118	   10553 
HYD	2.34000000e+004	  3.000000e+002	%0.87	    1	0	10335	9772	   10553 
HYD	2.34000000e+004	  3.000000e+002	%0.87	    2	0	6117	9118	   10553 
HYD	2.37000000e+004	  3.000000e+002	%0.88	    1	0	10332	9772	   10553 
HYD	2.37000000e+004	  3.000000e+002	%0.88	    2	0	8826	8826	   10553 
HYD	2.40000000e+004	  3.000000e+002	%0.90	    1	0	10335	10283	   10553 
HYD	2.40000000e+004	  3.000000e+002	%0.90	    2	0	8765	8765	   10553 
HYD	2.43000000e+004	  3.000000e+002	%0.91	    1	0	10360	10254	   10553 
HYD	2.43000000e+004	  3.000000e+002	%0.91	    2	0	8765	8765	   10553 
HYD	2.46000000e+004	  3.000000e+002	%0.92	    1	0	10335	10254	   10553 
HYD	2.46000000e+004	  3.000000e+002	%0.92	    2	0	8765	8765	   10553 
HYD	2.49000000e+004	  3.000000e+002	%0.93	    1	0	10335	10254	   10553 
HYD	2.49000000e+004	  3.000000e+002	%0.93	    2	0	8765	8765	   10553 
HYD	2.52000000e+004	  3.000000e+002	%0.94	    1	0	10309	10254	   10553 
HYD	2.52000000e+004	  3.000000e+002	%0.94	    2	0	8765	8765	   10553 
HYD	2.55000000e+004	  3.000000e+002	%0.95	    1	0	10254	10254	   10553 
HYD	2.55000000e+004	  3.000000e+002	%0.95	    2	0	6043	8765	   10553 
HYD	2.58000000e+004	  3.000000e+002	%0.96	    1	0	10254	10254	   10553 
HYD	2.58000000e+004	  3.000000e+002	%0.96	    2	0	6043	8765	   10553 
HYD	2.61000000e+004	  3.000000e+002	%0.97	    1	0	10254	10254	   10553 
HYD	2.61000000e+004	  3.000000e+002	%0.97	    2	0	6043	10034	   10553 
HYD	2.64000000e+004	  3.000000e+002	%0.99	    1	0	10254	10254	   10553 
HYD	2.64000000e+004	  3.000000e+002	%0.99	    2	0	10486	10034	   10553 
HYD	2.67000000e+004	  3.000000e+002	%1.00	    1	0	10254	10254	   10553 
HYD	2.67000000e+004	  3.000000e+002	%1.00	    2	0	8696	10034	   10553 
HYD	2.70000000e+004	  3.000000e+002	%1.01	    1	0	10254	10254	   10553 
HYD	2.70000000e+004	  3.000000e+002	%1.01	    2	0	8227	10034	   10553 
HYD	2.73000000e+004	  3.000000e+002	%1.02	    1	0	10382	10254	   10553 
HYD	2.73000000e+004	  3.000000e+002	%1.02	    2	0	8571	10034	   10553 
HYD	2.76000000e+004	  3.000000e+002	%1.03	    1	0	10254	10254	   10553 
HYD	2.76000000e+004	  3.000000e+002	%1.03	    2	0	8629	10034	   10553 
HYD	2.79000000e+004	  3.000000e+002	%1.04	    1	0	10254	10254	   10553 
